"","x"
"1231","Isyna1"
"1232","Cacng2"
"1233","Tmem160"
"1234","Rab5c"
"1235","Mdh2"
"1236","H13"
"1237","Rnf145"
"1238","Scn1b"
"1239","Atp6v1e1"
"1240","Chtf18"
"1241","Rps6kl1"
"1242","Ahr"
"1243","Map1s"
"1244","Dpep1"
"1245","Nop9"
"1246","Hsd17b1"
"1247","Atp6v0a1"
"1248","Grb7"
"1249","Noxo1"
"1250","Zfp687"
"1251","D8Ertd738e"
"1252","Calm3"
"1253","Cops3"
"1254","Fkbp8"
"1255","Ffar3"
"1256","Ddx39b"
"1257","Gipc1"
"1258","Xab2"
"1259","Cdc37"
"1260","Rab4a"
"1261","Cd70"
"1262","Cops6"
"1263","Ubb"
"1264","Gyg1"
"1265","Arid3a"
"1266","Ubxn6"
"1267","Sema6a"
"1268","Ccdc12"
"1269","Fmc1"
"1270","Akt3"
"1271","Mrpl24"
"1272","Gle1"
"1273","Lyst"
"1274","Calr3"
"1275","Tmc4"
"1276","Polr2i"
"1277","Krt10"
"1278","Esr1"
"1279","Vip"
"1280","Fbxo5"
"1281","Rgs17"
"1282","Hdac2"
"1283","Rwdd1"
"1284","Clvs2"
"1285","Hey2"
"1286","Stxbp5"
"1287","Trmt11"
"1288","Katna1"
"1289","Pcmt1"
"1290","Lrp11"
"1291","Sec63"
"1292","Snx3"
"1293","Pex3"
"1294","Cep57l1"
"1295","Ltv1"
"1296","Zc2hc1b"
"1297","Plagl1"
"1298","Cd164"
"1299","Utrn"
"1300","Zbtb24"
"1301","Grm1"
"1302","Wasf1"
"1303","Rab32"
"1304","Gtf3c6"
"1305","Slc16a10"
"1306","Rev3l"
"1307","Fyn"
"1308","Tube1"
"1309","Lama4"
"1310","Prep"
"1311","Arfgef3"
"1312","Reps1"
"1313","Fam184a"
"1314","Asf1a"
"1315","Gopc"
"1316","Qrsl1"
"1317","Rtn4ip1"
"1318","Nmbr"
"1319","Crybg1"
"1320","Gje1"
"1321","Vta1"
"1322","Serinc1"
"1323","Hsf2"
"1324","Echdc1"
"1325","Dcbld1"
"1326","Lrriq1"
"1327","Slc6a15"
"1328","Lama2"
"1329","Gprc6a"
"1330","Lin7a"
"1331","Ppp1r12a"
"1332","Septin10"
"1333","Lims1"
"1334","Zwint"
"1335","Ube2d1"
"1336","Kera"
"1337","Mrln"
"1338","Epyc"
"1339","Cdk1"
"1340","Atp2b1"
"1341","Rhobtb1"
"1342","Arid5b"
"1343","Actr6"
"1344","Bltp3b"
"1345","Poc1b"
"1346","Dusp6"
"1347","Tmpo"
"1348","Psen1"
"1349","Sgk1"
"1350","Cep290"
"1351","Hbs1l"
"1352","Epb41l2"
"1353","Med23"
"1354","Arg1"
"1355","Nedd1"
"1356","Mtfr2"
"1357","Map7"
"1358","Stx7"
"1359","Pex7"
"1360","Il20ra"
"1361","Cdk17"
"1362","Snrpf"
"1363","Fgd6"
"1364","Tmcc3"
"1365","Cep83"
